Source,Target,Type,Id,Label,timeset,Weight
100888,43,Directed,12389,,,2
100888,100888,Directed,12390,,,1
101011,101011,Directed,12401,,,1
101587,119,Directed,12404,,,2
101587,101587,Directed,13115,,,1
101705,101705,Directed,12406,,,25
101705,52119,Directed,12407,,,3
101914,100540,Directed,12688,,,3
101914,25186,Directed,12689,,,1
101914,6737,Directed,12690,,,1
101984,1251,Directed,12415,,,1
102343,101858,Directed,12431,,,1
102430,785,Directed,12476,,,2
102430,2425,Directed,12783,,,1
102430,119,Directed,12834,,,4
102430,1142,Directed,13833,,,1
102702,1255,Directed,12423,,,1
102702,48,Directed,12430,,,1
102702,98991,Directed,13834,,,1
103534,103534,Directed,12453,,,3
103534,944,Directed,13691,,,1
103670,1012,Directed,12604,,,3
103670,1173,Directed,12605,,,2
103670,109074,Directed,12606,,,1
103670,104787,Directed,12607,,,1
103670,119,Directed,12608,,,2
103670,4926,Directed,12637,,,1
103670,4935,Directed,12734,,,1
103670,785,Directed,12746,,,2
103670,83563,Directed,12747,,,1
103670,60241,Directed,12748,,,1
103670,102430,Directed,12749,,,1
103670,27000,Directed,12798,,,2
103670,5701,Directed,12829,,,3
103670,64913,Directed,12944,,,1
103670,13156,Directed,13190,,,1
103670,1597,Directed,13191,,,1
103670,24407,Directed,13734,,,1
103670,3467,Directed,13736,,,1
103670,142,Directed,13832,,,1
103670,853,Directed,13956,,,1
103670,103670,Directed,13975,,,1
103762,103762,Directed,12441,,,1
104803,101102,Directed,13291,,,1
104833,104833,Directed,12464,,,7
105223,119,Directed,12477,,,3
105223,105223,Directed,12490,,,42
105343,105343,Directed,12482,,,1
105369,105369,Directed,12484,,,3
105369,2103,Directed,13301,,,1
105638,1012,Directed,12491,,,1
105638,105638,Directed,12709,,,1
106072,106073,Directed,12500,,,6
106072,106072,Directed,12524,,,4
106072,1843,Directed,13807,,,1
106166,10492,Directed,12511,,,2
106166,119052,Directed,12904,,,1
106388,10492,Directed,12515,,,2
106388,106750,Directed,12532,,,2
106388,109535,Directed,12594,,,1
106388,6846,Directed,12595,,,1
106388,106388,Directed,12653,,,2
106388,120301,Directed,13556,,,1
106457,108118,Directed,12574,,,1
106557,105369,Directed,12522,,,2
106557,2114,Directed,12523,,,1
106557,2103,Directed,13298,,,2
106750,106457,Directed,12555,,,1
106750,106388,Directed,13559,,,1
106809,106457,Directed,12528,,,1
106809,61263,Directed,12823,,,1
106811,10492,Directed,12530,,,2
106811,108686,Directed,12580,,,1
106811,106166,Directed,12613,,,1
107291,69692,Directed,12559,,,1
107291,77799,Directed,12560,,,1
107291,107291,Directed,12561,,,1
107710,107711,Directed,12548,,,27
107710,108267,Directed,12568,,,7
107710,108275,Directed,12569,,,3
107710,108315,Directed,12665,,,6
107710,108311,Directed,12765,,,1
107758,89224,Directed,12553,,,1
107758,107758,Directed,12554,,,1
108310,108311,Directed,12570,,,5
108310,108275,Directed,12631,,,1
108310,107711,Directed,12865,,,2
108315,107710,Directed,12571,,,9
108315,107711,Directed,12572,,,17
108315,108267,Directed,12573,,,13
108315,108275,Directed,12679,,,2
108315,108311,Directed,12718,,,3
108315,108310,Directed,12866,,,1
108508,108509,Directed,12576,,,4
108508,114358,Directed,12704,,,3
108508,108508,Directed,13498,,,1
108509,108508,Directed,13148,,,2
108509,108509,Directed,13149,,,1
108801,180,Directed,13676,,,1
108801,9299,Directed,13677,,,1
108838,5090,Directed,12583,,,6
108838,175,Directed,12584,,,1
108838,3519,Directed,12585,,,1
108838,108838,Directed,12618,,,2
108971,109215,Directed,12999,,,1
109215,109215,Directed,12695,,,2
109535,6846,Directed,12590,,,1
109536,109536,Directed,12591,,,1
109536,927,Directed,12592,,,1
109640,109640,Directed,13618,,,1
109666,109667,Directed,12597,,,1
109667,109666,Directed,12599,,,1
109667,109667,Directed,12600,,,1
110023,148108,Directed,13632,,,1
110023,110023,Directed,13633,,,1
110293,110293,Directed,12616,,,1
110293,157758,Directed,13917,,,1
111193,111182,Directed,12624,,,6
111193,1638,Directed,12625,,,6
112754,112754,Directed,12647,,,9
112754,30112,Directed,13388,,,4
112776,112776,Directed,12965,,,1
112862,1251,Directed,12650,,,4
113084,113084,Directed,12658,,,4
113298,113298,Directed,12662,,,37
113298,115018,Directed,12725,,,26
