edges,weight
"('alexa', 'accessibility')",190.0
"('ai', 'vr')",190.0
"('amazon', 'save')",190.0
"('amazon', 'tesla')",190.0
"('entrepreneur', 'livevideo')",190.0
"('superbowl', 'cardib')",190.0
"('alexa', 'singapore')",189.0
"('mobile', 'genz')",189.0
"('alexa', 'deepmind')",188.0
"('alexa', 'toyota')",188.0
"('ai', 'deepmind')",188.0
"('ai', 'genz')",188.0
"('siri', 'humor')",188.0
"('siri', 'deepmind')",188.0
"('smartphones', 'virtualassistants')",188.0
"('mobile', 'virtualassistants')",188.0
"('virtualassistants', 'genz')",188.0
"('ai', 'business')",187.0
"('siri', 'iosdev')",187.0
"('siri', 'innovation')",187.0
"('podcast', 'googleplay')",187.0
"('podcast', 'daily')",187.0
"('itunes', 'livevideo')",187.0
"('itunes', 'entrepreneur')",187.0
"('itunes', 'daily')",187.0
"('daily', 'livevideo')",187.0
"('daily', 'entrepreneur')",187.0
"('alexa', 'sleep')",186.0
"('siri', 'story')",186.0
"('smartphones', 'deepmind')",186.0
"('smartphones', 'genz')",186.0
"('smartphones', 'mobile')",186.0
"('traveltech', 'tucson')",186.0
"('traveltech', 'singapore')",186.0
"('mobile', 'deepmind')",186.0
"('virtualassistants', 'deepmind')",186.0
"('deepmind', 'genz')",186.0
"('daily', 'googleplay')",186.0
"('entrepreneur', 'googleplay')",186.0
"('googleplay', 'livevideo')",186.0
"('alexa', 'vault')",185.0
"('alexa', 'aexa')",184.0
"('iot', 'aexa')",184.0
"('siri', 'wwdc')",184.0
"('zwave', 'aexa')",184.0
"('realestate', 'aexa')",184.0
"('iotforum', 'aexa')",184.0
"('realtors', 'aexa')",184.0
"('designthinking', 'aexa')",184.0
"('ai', 'mobileapps')",183.0
"('amazon', 'it')",183.0
"('siri', 'ios9')",183.0
"('siri', 'mobileapps')",183.0
"('alexa', 'lighting')",182.0
"('siri', 'issafriday')",182.0
"('smartphones', 'mobileapps')",182.0
"('iphone6plus', 'ios9')",182.0
"('mobile', 'mobileapps')",182.0
"('mobileapps', 'deepmind')",182.0
"('mobileapps', 'genz')",182.0
"('mobileapps', 'virtualassistants')",182.0
"('alexa', 'ui')",181.0
"('alexa', '2ndcityapp')",181.0
"('ai', 'msbuild')",181.0
"('siri', 'ecommerce')",181.0
"('alexa', 'dns')",180.0
"('firetv', 'save')",180.0
"('siri', 'wwdc2018')",179.0
"('echodot', 'sale')",179.0
"('rankbio', 'dns')",179.0
"('alexa', 'vui')",178.0
"('alexa', 'oasis')",178.0
"('alexa', 'humidifier')",178.0
"('amazon', 'enterprise')",178.0
"('siri', 'voiceactor')",178.0
"('cortana', 'bluescreenofdeath')",178.0
"('w10', 'bluescreenofdeath')",178.0
"('alexa', 'show')",177.0
"('amazon', 'cx')",177.0
"('health', 'technology')",177.0
"('iphone', 'iosdev')",177.0
"('iphone6plus', 'iosdev')",177.0
"('ios9', 'iosdev')",177.0
"('alexa', 'allergies')",176.0
"('alexa', 'fever')",176.0
"('alexa', 'hay')",176.0
"('alexa', 'pollen')",176.0
"('health', 'humidifier')",176.0
"('health', 'allergies')",176.0
"('health', 'fever')",176.0
"('health', 'hay')",176.0
"('health', 'pollen')",176.0
"('technology', 'humidifier')",176.0
"('technology', 'allergies')",176.0
"('technology', 'fever')",176.0
"('technology', 'hay')",176.0
"('technology', 'pollen')",176.0
"('wine', 'oasis')",176.0
"('humidifier', 'allergies')",176.0
"('humidifier', 'fever')",176.0
"('humidifier', 'hay')",176.0
"('humidifier', 'pollen')",176.0
"('allergies', 'fever')",176.0
"('allergies', 'hay')",176.0
"('allergies', 'pollen')",176.0
"('fever', 'hay')",176.0
"('fever', 'pollen')",176.0
"('hay', 'pollen')",176.0
"('alexa', 'streaming')",175.0
"('siri', 'newiphone')",175.0
"('moz', 'rankbio')",174.0
"('ai', 'robotics')",173.0
"('alexa', 'alexarank')",172.0
"('alexa', 'okgoogle')",172.0
"('alexa', 'inspiration')",172.0
"('speaker', 'keynote')",172.0
"('siri', 'entrepreneurs')",172.0
"('tech', 'media')",172.0
"('alexa', 'superbowlcommercials')",171.0
"('voicefirst', 'ecommerce')",171.0
"('weather', 'smartcity')",170.0
"('voicefirst', 'homepod')",169.0
"('alexa', 'monitor')",168.0
"('iot', 'ces2018')",168.0
"('amazonecho', 'win')",168.0
"('traveltech', 'travel')",168.0
"('azure', 'msbuild')",168.0
"('alexa', 'alexaranking')",166.0
"('ecommerce', 'aws')",166.0
"('alexa', 'amazonprime')",165.0
"('alexa', 'superbowllii')",165.0
"('voicefirst', 'voicepayments')",165.0
"('tucson', 'travel')",165.0
"('singapore', 'travel')",165.0
"('alexa', 'analytics')",164.0
"('cortana', 'ecommerce')",164.0
"('ecommerce', 'cx')",164.0
"('alexa', 'yoga')",163.0
"('voicefirst', 'ux')",163.0
"('voicefirst', 'cx')",163.0
"('cx', 'reinvent')",163.0
"('alexa', 'nlp')",162.0
"('google', 'seo')",162.0
"('keynote', 'event')",162.0
"('alexa', 'reporting')",161.0
"('amazon', 'robotics')",161.0
"('siri', 'speakers')",161.0
"('siri', 'macos')",161.0
"('voicefirst', 'cloud')",161.0
"('ecommerce', 'reinvent')",161.0
"('ecommerce', 'cloud')",161.0
"('cloud', 'cx')",161.0
"('cx', 'aws')",161.0
"('alexa', 'content')",160.0
"('alexa', 'daughterlovemother')",160.0
"('amazon', 'deals')",160.0
"('inspiration', 'daughterlovemother')",160.0
"('inspiration', 'anna')",160.0
"('rankbio', 'keyword')",160.0
"('anna', 'daughterlovemother')",160.0
"('alexa', 'developer')",159.0
"('ai', 'marketing')",159.0
"('sale', 'save')",159.0
"('it', 'reinvent')",159.0
"('it', 'enterprise')",159.0
"('reinvent', 'enterprise')",159.0
"('ai', 'amazonecho')",158.0
"('grasmere', 'lakedistrict')",158.0
"('alexa', 'keyword')",157.0
"('siri', 'funny')",157.0
"('podcast', 'twitter')",156.0
"('alexa', 'connectedhome')",155.0
"('alexa', 'audio')",155.0
"('alexa', 'healthyrecipes')",155.0
"('conference', 'speaking')",155.0
"('alexa', 'conserve')",154.0
"('weather', 'conserve')",154.0
"('lighting', 'healthyrecipes')",154.0
"('smartcity', 'conserve')",154.0
"('alexa', 'travelling')",153.0
"('amazon', 'android')",153.0
"('amazon', 'vr')",153.0
"('amazon', 'ar')",153.0
"('amazon', 'smarter')",153.0
"('amazonecho', 'music')",153.0
"('traveltech', 'travelling')",153.0
"('tucson', 'travelling')",153.0
"('singapore', 'travelling')",153.0
"('travel', 'travelling')",153.0
"('keynote', 'summit')",153.0
"('ai', 'smarter')",152.0
"('amazon', 'voice')",152.0
"('siri', 'airpods')",152.0
"('apple', 'iphonex')",152.0
