Id,Label,timeset,no_tweets,no_mentions
14472,thehackersnews,,0,67
14475,onlim_com,,2,46
14571,walabotlabs,,6,29
14654,natureincglobal,,1,17
14661,golem,,0,127
14721,zappmm,,2,50
14784,slate,,0,47
14785,theexecutiveva,,89,25
14795,veniloqui,,27,66
14809,richmerrett815,,39,18
14823,millerwilsonmwc,,0,19
14825,bobharrisuk,,39,72
14861,thebihn,,9,17
14892,uslivinglife,,1,63
14913,geekwire,,0,50
14954,ewingo13,,8,21
14992,italia_nel_caos,,0,19
15045,maddasizaq,,9,22
15046,pakistaninpics,,8,82
15047,uzmahussain01,,0,23
15048,invernesstravel,,0,23
15049,cnntravel,,0,23
15050,pandajay,,1,18
15077,muschelschloss,,3,23
15106,kolerikkevin,,5,17
15183,linkedin,,0,22
15184,crunchbase,,4,17
15211,wework,,0,127
15245,osxdaily,,10,19
15258,wireduk,,0,30
15282,brbarrett,,0,24
15303,botmetrichq,,12,51
15311,scrowder,,0,180
15323,cielowigle,,12,49
15372,anthonybissell,,0,36
15433,foxnews,,0,34
15465,fanthatracks,,4,16
15472,iculture,,1,17
15475,nattymacnchee,,0,34
15481,realalexjones,,0,211
15599,cee60396907,,1,16
15628,arkecosystem,,0,67
15730,immbm,,6,83
15786,windowsarea,,1,22
15798,llioangharad,,5,16
15820,time,,0,24
15840,julianassange,,0,22
15859,t3n,,3,49
15897,robot_watch_,,0,16
15918,washingtonpost,,0,35
15919,diediesays,,0,32
15984,slickstweetz,,7,65
16029,theabissell,,0,32
16034,michellebullet1,,0,97
16153,techreview_es,,0,119
16178,notgayjared,,0,42
16179,benshapiro,,0,183
16207,mobilebaicho,,0,16
16270,drlindeman,,3,30
16295,bedfordcj,,8,37
16326,adafruit,,4,31
16529,weshellyar,,6,19
16594,glengilmore,,11,50
16600,quattrodm,,5,22
16606,windowsitalia,,0,56
16630,zacthelinguist,,0,32
16669,cbinsights,,0,117
16683,realjameswoods,,0,37
16707,lantidiplomatic,,1,18
16788,iotchannel,,15,16
16822,johnnosta,,27,60
16835,nigrumfry,,4,23
16894,omgod_becky,,0,33
17000,vdelsaco,,6,29
17126,travelwithxtina,,0,60
17144,oc_wire,,9,40
17145,thearbazkhan,,0,37
17205,bing,,0,60
17231,technottingham,,25,21
17268,realpeterlynch,,0,16
17319,aurelianoferri,,3,121
17324,drm00re,,455,543
17325,boogie_1969,,141,1485
17326,siliconeros,,140,1485
17327,pqcolor,,140,1485
17328,libidorush1,,126,1485
17329,jopower666,,142,1485
17331,drrxm,,231,491
17332,drrzx,,218,428
17353,sebsto,,30,44
17427,tibo_audio,,0,27
17432,noellelacharite,,12,20
17562,googlefr,,0,17
17590,crashdev,,11,20
